x_axis,y_axis,z_axis
1946,-626,-44.247
1913,-645,-53.997
1823,-655,-56.623
1856,-730,-58.511
1834,-617,-57.021
1840,-468,-59.383
1828,-519,-57.752
1837,-558,-57.081
1867,-572,-57.027
1861,-551,-57.313
1814,-452,-56.57
1919,-226,-53.067
1859,-363,-58.18
1949,-257,-43.775
1849,-230,-59.195
1889,-391,-56.906
1923,-383,-51.307
1918,-180,-54.112
1912,-39,-56.076
1818,-85,-59.144
1828,-51,-59.238
1922,-20,-53.685
1834,-96,-59.521
1815,93,-57.81
1889,81,-58.323
1880,185,-59.554
1950,197,-42.6
1853,25,-59.832
1888,50,-58.296
1825,376,-58.154
1814,347,-56.479
1895,341,-58.249
1811,386,-56.556
1895,222,-57.616
1937,252,-48.119
1846,408,-59.883
1928,503,-52.38
1869,473,-59.629
1879,557,-60.143
1910,523,-56.8
1864,540,-60.358
1896,731,-57.297
1902,715,-56.382
1852,735,-58.707
1910,785,-54.426
1812,612,-58.268
1850,671,-59.593
1861,902,-59.975
1916,935,-56.102
1820,928,-58.339
1938,952,-50.578
1943,847,-45.409
1871,861,-59.931
2098,-982,-41.582
2021,-861,-31.735
2096,-882,-40.719
2077,-935,-37.005
2048,-930,-33.298
2028,-938,-32.118
2047,-682,-33.252
1992,-686,-31.168
2075,-656,-36.855
2056,-625,-33.829
2011,-648,-30.983
1978,-708,-34.886
2061,-410,-37.716
2019,-455,-33.522
2092,-565,-39.764
2073,-422,-39.792
2046,-419,-35.545
2074,-452,-38.523
2014,-231,-33.375
2028,-270,-34.753
2097,-232,-42.997
1996,-337,-33.074
1985,-383,-35.174
2076,-344,-40.941
2008,-151,-32.016
1965,-166,-39.047
1982,-158,-34.999
1966,-31,-38.302
2002,-99,-30.913
2017,-33,-31.852
2052,183,-32.907
1962,9,-39.814
2010,116,-32.769
2079,170,-37.887
1976,155,-36.241
2079,90,-38.618
2087,223,-40.201
2003,333,-33.296
2050,334,-35.691
2025,332,-33.863
2032,304,-33.942
2034,274,-33.915
1962,581,-40.557
1979,567,-36.619
2052,498,-34.961
1980,418,-37.291
1989,539,-35.339
2009,472,-33.616
1963,686,-38.929
2036,689,-34.717
2083,722,-40.38
2043,755,-34.323
2048,647,-34.523
2011,718,-33.889
2003,919,-34.035
2074,874,-38.804
1992,941,-33.982
2044,984,-35.288
1974,919,-38.346
2039,863,-34.9
2121,-850,-44.621
2229,-916,-48.227
2118,-979,-45.026
2219,-874,-48.103
2144,-900,-46.212
2231,-973,-48.133
2149,-730,-46.769
2212,-684,-47.72
2185,-614,-47.703
2144,-610,-45.8
2232,-620,-48.604
2211,-653,-48.079
2161,-584,-47.926
2201,-482,-50.501
2154,-436,-49.277
2135,-466,-48.455
2198,-504,-50.331
2175,-535,-49.177
2146,-275,-49.985
2224,-334,-49.434
2176,-323,-49.29
2116,-375,-47.753
2185,-215,-50.298
2168,-288,-50.081
2184,-36,-48.463
2190,-191,-49.517
2229,-124,-49.4
2161,-127,-48.161
2223,-93,-49.433
2206,-188,-49.543
2165,184,-47.487
2118,179,-45.303
2128,69,-45.745
2118,84,-44.825
2119,150,-45.806
2172,24,-48.766
2173,246,-48.467
2139,321,-49.382
2155,304,-50.145
2182,216,-47.709
2127,250,-47.83
2220,320,-50.104
2156,513,-49.455
2147,463,-48.492
2125,528,-47.206
2150,552,-48.889
2163,481,-49.111
2237,454,-49.845
2239,752,-48.697
2221,623,-49.734
2193,647,-49.355
2219,742,-49.057
2205,685,-49.559
2246,787,-49.135
2112,830,-46.047
2249,943,-50.592
2194,846,-49.917
2142,884,-48.926
2230,876,-50.395
2160,899,-50.012
2302,-853,-48.54
2362,-946,-48.494
2294,-910,-48.686
2369,-910,-48.686
2332,-922,-48.556
2391,-991,-47.029
2325,-689,-49.437
2261,-611,-48.456
2314,-735,-48.142
2381,-695,-51.706
2347,-705,-50.534
2299,-668,-48.06
2399,-427,-49.233
2289,-411,-50.235
2313,-565,-49.949
2306,-470,-50.414
2377,-415,-49.638
2293,-537,-50.557
2261,-225,-49.59
2311,-313,-48.26
2367,-388,-49.497
2364,-361,-48.516
2324,-257,-49.56
2355,-248,-49.092
2398,-105,-50.433
2356,-38,-49.438
2370,-134,-51.031
2316,-15,-49.723
2350,-13,-48.734
2386,-169,-49.863
2348,147,-48.579
2269,81,-48.82
2267,54,-48.256
2362,56,-48.593
2335,71,-49.139
2349,168,-48.624
2367,318,-49.964
2265,374,-49.129
2282,305,-49.652
2368,293,-50.371
2351,350,-48.729
2311,298,-49.838
2378,432,-48.154
2304,599,-48.224
2314,464,-48.526
2351,478,-48.719
2343,580,-48.36
2322,494,-49.397
2391,741,-47.206
2295,612,-48.681
2260,694,-49.467
2348,760,-47.423
2398,644,-48.88
2350,724,-48.363
2318,942,-48.943
2299,932,-49.399
2344,931,-48.129
2357,913,-48.036
2268,921,-50.165
2276,962,-49.586
2443,-947,-47.108
2435,-889,-48.246
2535,-873,-55.523
2481,-991,-47.129
2412,-930,-47.396
2422,-913,-47.553
2424,-609,-50.235
2538,-646,-56.662
2412,-753,-52.521
2485,-642,-51.047
2455,-742,-52.849
2522,-733,-55.94
2546,-506,-55.688
2498,-486,-48.641
2419,-521,-49.492
2488,-543,-49.393
2532,-555,-53.345
2425,-497,-48.876
2508,-307,-51.922
2440,-387,-49.681
2444,-242,-50.013
2528,-378,-52.877
2467,-378,-49.84
2426,-292,-49.356
2466,-4,-48.466
2484,-192,-50.305
2505,-181,-50.788
2483,-1,-48.859
2502,-110,-51.132
2468,-73,-49.36
2547,185,-55.939
2529,78,-53.844
2455,70,-46.818
2523,10,-51.52
2469,52,-47.518
2544,128,-56.327
2532,264,-54.529
2508,246,-50.992
2503,215,-50.277
2436,336,-48.872
2533,324,-53.748
2478,390,-48.988
2486,588,-48.808
2424,524,-49.013
2461,589,-48.006
2492,553,-49.506
2420,466,-48.385
2483,531,-48.946
2545,768,-55.987
2531,623,-52.319
2474,629,-47.585
2521,724,-50.917
2469,773,-48.315
2485,725,-48.311
2524,895,-52.044
2520,878,-52.161
2482,921,-49.46
2516,914,-50.956
2474,942,-48.863
2474,846,-49.001
2679,-885,-67.191
2617,-936,-64.143
2619,-848,-66.043
2688,-810,-67.727
2673,-984,-64.689
2588,-925,-62.355
2591,-736,-64.673
2614,-678,-65.076
2688,-791,-67.486
2676,-617,-67.526
2609,-643,-63.907
2570,-697,-61.347
2563,-424,-59.016
2632,-413,-65.912
2577,-514,-60.333
2579,-554,-60.929
2590,-445,-61.581
2660,-409,-66.178
2670,-351,-66.729
2608,-369,-64.082
2562,-363,-59.26
2628,-319,-64.709
2638,-222,-66.419
2571,-235,-61.768
2618,-121,-64.25
2694,-160,-68.481
2660,-134,-66.766
2562,-159,-58.048
2665,-169,-66.804
2648,-160,-65.526
2617,96,-63.91
2596,86,-62.238
2644,89,-64.1
2637,49,-63.996
2618,78,-63.542
2668,152,-64.761
2625,342,-64.157
2652,218,-64.294
2570,388,-59.271
2605,246,-62.671
2692,320,-65.925
2651,260,-63.69
2587,413,-61.039
2680,428,-66.404
2696,528,-66.908
2581,479,-60.352
2665,478,-65.249
2654,570,-64.54
2652,629,-64.663
2578,693,-59.667
2559,667,-56.365
2624,627,-64.013
2581,714,-60.303
2575,608,-60.241
2698,944,-68.602
2647,916,-65.425
2693,963,-68.205
2689,900,-66.901
2578,914,-61.541
2634,941,-64.937
2739,-805,-72.109
2712,-949,-69.262
2830,-909,-72.845
2815,-806,-72.714
2811,-971,-73.318
2755,-815,-73.126
2767,-743,-74.558
2837,-709,-72.445
2748,-713,-72.733
2824,-766,-73.914
2731,-672,-70.869
2734,-756,-71.608
2787,-586,-74.327
2764,-489,-72.045
2801,-473,-73.537
2835,-513,-71.695
2717,-546,-69.151
2771,-406,-73.852
2748,-274,-74.315
2728,-381,-71.08
2789,-359,-74.929
2741,-204,-73.842
2795,-257,-76.147
2776,-277,-75.804
2730,-2,-70.482
2831,-35,-74.627
2750,-143,-73.156
2777,-162,-75.446
2770,-47,-74.423
2810,-177,-76.065
2799,37,-76.561
2725,176,-68.71
2818,92,-73.798
2801,122,-73.243
2716,17,-68.31
2808,182,-72.02
2713,347,-67.989
2711,267,-67.808
2763,396,-74.045
2809,276,-74.272
2743,397,-72.417
2741,214,-69.793
2813,438,-74.276
2800,471,-73.996
2826,560,-75.331
2844,485,-71.883
2719,481,-69.735
2716,437,-69.232
2797,721,-74.829
2725,795,-70.076
2725,703,-70.545
2754,657,-73.73
2770,692,-74.477
2722,686,-70.164
2817,849,-75.362
2755,997,-72.441
2795,981,-74.467
2772,959,-73.362
2760,915,-73.237
2801,814,-75.141
2920,-963,-43.139
2946,-850,-41.581
2906,-953,-45.678
2895,-879,-50.71
2995,-980,-41.181
2966,-813,-41.2
2980,-734,-39.929
2878,-669,-58.787
2948,-663,-41.436
2988,-630,-40.606
2881,-612,-56.799
2930,-699,-41.411
